,type,strikes,maturities,implied_volatilities,Spot,utc_T0
0,put,38000.0,1650096000.0,0.6283,40476.62,2022-04-16 05:43:09.976983
1,put,40000.0,1650096000.0,0.4006,40476.62,2022-04-16 05:43:09.976983
2,put,48000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
3,put,42000.0,1650096000.0,0.5557,40476.62,2022-04-16 05:43:09.976983
4,put,37000.0,1650096000.0,0.6692,40476.62,2022-04-16 05:43:09.976983
5,put,32000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
6,put,39000.0,1650096000.0,0.6225,40476.62,2022-04-16 05:43:09.976983
7,put,44000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
8,put,43000.0,1650096000.0,0.6452,40476.62,2022-04-16 05:43:09.976983
9,put,34000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
10,put,36000.0,1650096000.0,0.7509999999999999,40476.62,2022-04-16 05:43:09.976983
11,put,41000.0,1650096000.0,0.4007,40476.62,2022-04-16 05:43:09.976983
12,put,45000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
13,put,46000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
14,put,35000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
15,put,43000.0,1650182400.0,0.5368999999999999,40476.62,2022-04-16 05:43:09.976983
16,put,36000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
17,put,42000.0,1650182400.0,0.4607,40476.62,2022-04-16 05:43:09.976983
18,put,40000.0,1650182400.0,0.4603,40476.62,2022-04-16 05:43:09.976983
19,put,32000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
20,put,38000.0,1650182400.0,0.5607,40476.62,2022-04-16 05:43:09.976983
21,put,35000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
22,put,34000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
23,put,46000.0,1650182400.0,0.65,40476.62,2022-04-16 05:43:09.976983
24,put,37000.0,1650182400.0,0.631,40476.62,2022-04-16 05:43:09.976983
25,put,39000.0,1650182400.0,0.4947,40476.62,2022-04-16 05:43:09.976983
26,put,41000.0,1650182400.0,0.4468,40476.62,2022-04-16 05:43:09.976983
27,put,44000.0,1650182400.0,0.6425,40476.62,2022-04-16 05:43:09.976983
28,put,35000.0,1650614400.0,0.6109,40476.62,2022-04-16 05:43:09.976983
29,put,47000.0,1650614400.0,0.5453,40476.62,2022-04-16 05:43:09.976983
30,put,40000.0,1650614400.0,0.4904,40476.62,2022-04-16 05:43:09.976983
31,put,56000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
32,put,46000.0,1650614400.0,0.5211,40476.62,2022-04-16 05:43:09.976983
33,put,42000.0,1650614400.0,0.4729,40476.62,2022-04-16 05:43:09.976983
34,put,43000.0,1650614400.0,0.4706,40476.62,2022-04-16 05:43:09.976983
35,put,48000.0,1650614400.0,0.5827,40476.62,2022-04-16 05:43:09.976983
36,put,65000.0,1650614400.0,0.7116,40476.62,2022-04-16 05:43:09.976983
37,put,52000.0,1650614400.0,0.675,40476.62,2022-04-16 05:43:09.976983
38,put,44000.0,1650614400.0,0.4753,40476.62,2022-04-16 05:43:09.976983
39,put,75000.0,1650614400.0,0.7168000000000001,40476.62,2022-04-16 05:43:09.976983
40,put,41000.0,1650614400.0,0.4752,40476.62,2022-04-16 05:43:09.976983
41,put,55000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
42,put,70000.0,1650614400.0,0.7162999999999999,40476.62,2022-04-16 05:43:09.976983
43,put,30000.0,1650614400.0,0.8687999999999999,40476.62,2022-04-16 05:43:09.976983
44,put,25000.0,1650614400.0,0.9775,40476.62,2022-04-16 05:43:09.976983
45,put,36000.0,1650614400.0,0.5949,40476.62,2022-04-16 05:43:09.976983
46,put,45000.0,1650614400.0,0.5003,40476.62,2022-04-16 05:43:09.976983
47,put,37000.0,1650614400.0,0.5579999999999999,40476.62,2022-04-16 05:43:09.976983
48,put,39000.0,1650614400.0,0.51,40476.62,2022-04-16 05:43:09.976983
49,put,34000.0,1650614400.0,0.6993,40476.62,2022-04-16 05:43:09.976983
50,put,54000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
51,put,38000.0,1650614400.0,0.5337,40476.62,2022-04-16 05:43:09.976983
52,put,50000.0,1650614400.0,0.6285000000000001,40476.62,2022-04-16 05:43:09.976983
53,put,60000.0,1650614400.0,0.6897,40476.62,2022-04-16 05:43:09.976983
54,put,40000.0,1651219200.0,0.5119,40476.62,2022-04-16 05:43:09.976983
55,put,49000.0,1651219200.0,0.5461,40476.62,2022-04-16 05:43:09.976983
56,put,45000.0,1651219200.0,0.4966,40476.62,2022-04-16 05:43:09.976983
