,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,50000.0,1639468800.0,0.9478,46776.29,2021-12-14 09:00:07.485554
1,put,56000.0,1639468800.0,0.9493,46776.29,2021-12-14 09:00:07.485554
2,put,52000.0,1639468800.0,0.9492,46776.29,2021-12-14 09:00:07.485554
3,put,44000.0,1639468800.0,1.1914,46776.29,2021-12-14 09:00:07.485554
4,put,45000.0,1639468800.0,0.8937999999999999,46776.29,2021-12-14 09:00:07.485554
5,put,55000.0,1639468800.0,0.9493,46776.29,2021-12-14 09:00:07.485554
6,put,38000.0,1639468800.0,1.2819999999999998,46776.29,2021-12-14 09:00:07.485554
7,put,48000.0,1639468800.0,0.7661,46776.29,2021-12-14 09:00:07.485554
8,put,54000.0,1639468800.0,0.9492,46776.29,2021-12-14 09:00:07.485554
9,put,40000.0,1639468800.0,1.2819999999999998,46776.29,2021-12-14 09:00:07.485554
10,put,47000.0,1639468800.0,0.7553,46776.29,2021-12-14 09:00:07.485554
11,put,42000.0,1639468800.0,1.2819999999999998,46776.29,2021-12-14 09:00:07.485554
12,put,49000.0,1639468800.0,0.81,46776.29,2021-12-14 09:00:07.485554
13,put,43000.0,1639468800.0,1.2668000000000001,46776.29,2021-12-14 09:00:07.485554
14,put,46000.0,1639468800.0,0.7802,46776.29,2021-12-14 09:00:07.485554
15,put,53000.0,1639468800.0,0.9492,46776.29,2021-12-14 09:00:07.485554
16,put,58000.0,1639468800.0,0.9497,46776.29,2021-12-14 09:00:07.485554
17,put,51000.0,1639468800.0,0.9492,46776.29,2021-12-14 09:00:07.485554
18,put,47000.0,1639555200.0,0.7467,46776.29,2021-12-14 09:00:07.485554
19,put,40000.0,1639555200.0,1.3183,46776.29,2021-12-14 09:00:07.485554
20,put,50000.0,1639555200.0,0.7620999999999999,46776.29,2021-12-14 09:00:07.485554
21,put,56000.0,1639555200.0,0.9687,46776.29,2021-12-14 09:00:07.485554
22,put,38000.0,1639555200.0,1.3588,46776.29,2021-12-14 09:00:07.485554
23,put,42000.0,1639555200.0,1.0979999999999999,46776.29,2021-12-14 09:00:07.485554
24,put,44000.0,1639555200.0,0.8865000000000001,46776.29,2021-12-14 09:00:07.485554
25,put,45000.0,1639555200.0,0.8131,46776.29,2021-12-14 09:00:07.485554
26,put,53000.0,1639555200.0,0.9677,46776.29,2021-12-14 09:00:07.485554
27,put,46000.0,1639555200.0,0.7668,46776.29,2021-12-14 09:00:07.485554
28,put,43000.0,1639555200.0,0.9667,46776.29,2021-12-14 09:00:07.485554
29,put,41000.0,1639555200.0,1.188,46776.29,2021-12-14 09:00:07.485554
30,put,54000.0,1639555200.0,0.9677,46776.29,2021-12-14 09:00:07.485554
31,put,48000.0,1639555200.0,0.7379000000000001,46776.29,2021-12-14 09:00:07.485554
32,put,52000.0,1639555200.0,0.9068999999999999,46776.29,2021-12-14 09:00:07.485554
33,put,49000.0,1639555200.0,0.7451000000000001,46776.29,2021-12-14 09:00:07.485554
34,put,51000.0,1639555200.0,0.8382,46776.29,2021-12-14 09:00:07.485554
35,put,66000.0,1639728000.0,1.0404,46776.29,2021-12-14 09:00:07.485554
36,put,50000.0,1639728000.0,0.7541,46776.29,2021-12-14 09:00:07.485554
37,put,30000.0,1639728000.0,1.4556,46776.29,2021-12-14 09:00:07.485554
38,put,68000.0,1639728000.0,1.0606,46776.29,2021-12-14 09:00:07.485554
39,put,95000.0,1639728000.0,1.1699,46776.29,2021-12-14 09:00:07.485554
40,put,58000.0,1639728000.0,0.9984000000000001,46776.29,2021-12-14 09:00:07.485554
41,put,62000.0,1639728000.0,1.0395999999999999,46776.29,2021-12-14 09:00:07.485554
42,put,75000.0,1639728000.0,1.1699,46776.29,2021-12-14 09:00:07.485554
43,put,43000.0,1639728000.0,0.8825,46776.29,2021-12-14 09:00:07.485554
44,put,52000.0,1639728000.0,0.7990999999999999,46776.29,2021-12-14 09:00:07.485554
45,put,60000.0,1639728000.0,1.0384,46776.29,2021-12-14 09:00:07.485554
46,put,54000.0,1639728000.0,0.8656,46776.29,2021-12-14 09:00:07.485554
47,put,48000.0,1639728000.0,0.7434999999999999,46776.29,2021-12-14 09:00:07.485554
48,put,51000.0,1639728000.0,0.7720999999999999,46776.29,2021-12-14 09:00:07.485554
49,put,56000.0,1639728000.0,0.9581999999999999,46776.29,2021-12-14 09:00:07.485554
50,put,64000.0,1639728000.0,1.0402,46776.29,2021-12-14 09:00:07.485554
51,put,46000.0,1639728000.0,0.7666,46776.29,2021-12-14 09:00:07.485554
52,put,55000.0,1639728000.0,0.8794,46776.29,2021-12-14 09:00:07.485554
53,put,49000.0,1639728000.0,0.7448999999999999,46776.29,2021-12-14 09:00:07.485554
54,put,65000.0,1639728000.0,1.0402,46776.29,2021-12-14 09:00:07.485554
55,put,44000.0,1639728000.0,0.8358,46776.29,2021-12-14 09:00:07.485554
56,put,85000.0,1639728000.0,1.1699,46776.29,2021-12-14 09:00:07.485554
57,put,70000.0,1639728000.0,1.0608,46776.29,2021-12-14 09:00:07.485554
58,put,53000.0,1639728000.0,0.8233,46776.29,2021-12-14 09:00:07.485554
59,put,80000.0,1639728000.0,1.1699,46776.29,2021-12-14 09:00:07.485554
60,put,40000.0,1639728000.0,1.0503,46776.29,2021-12-14 09:00:07.485554
61,put,90000.0,1639728000.0,1.1699,46776.29,2021-12-14 09:00:07.485554
62,put,35000.0,1639728000.0,1.4266999999999999,46776.29,2021-12-14 09:00:07.485554
63,put,47000.0,1639728000.0,0.7481,46776.29,2021-12-14 09:00:07.485554
64,put,61000.0,1639728000.0,1.0386,46776.29,2021-12-14 09:00:07.485554
65,put,45000.0,1639728000.0,0.7977,46776.29,2021-12-14 09:00:07.485554
66,put,57000.0,1639728000.0,0.9691,46776.29,2021-12-14 09:00:07.485554
67,put,59000.0,1639728000.0,1.036,46776.29,2021-12-14 09:00:07.485554
68,put,42000.0,1639728000.0,0.9399,46776.29,2021-12-14 09:00:07.485554
69,put,80000.0,1640332800.0,1.0576,46776.29,2021-12-14 09:00:07.485554
70,put,53000.0,1640332800.0,0.7956,46776.29,2021-12-14 09:00:07.485554
71,put,25000.0,1640332800.0,1.3067,46776.29,2021-12-14 09:00:07.485554
72,put,66000.0,1640332800.0,0.9308,46776.29,2021-12-14 09:00:07.485554
73,put,44000.0,1640332800.0,0.825,46776.29,2021-12-14 09:00:07.485554
74,put,85000.0,1640332800.0,1.0672,46776.29,2021-12-14 09:00:07.485554
75,put,62000.0,1640332800.0,0.9081,46776.29,2021-12-14 09:00:07.485554
76,put,70000.0,1640332800.0,1.0405,46776.29,2021-12-14 09:00:07.485554
77,put,55000.0,1640332800.0,0.8127,46776.29,2021-12-14 09:00:07.485554
78,put,64000.0,1640332800.0,0.9211,46776.29,2021-12-14 09:00:07.485554
79,put,54000.0,1640332800.0,0.8062,46776.29,2021-12-14 09:00:07.485554
80,put,45000.0,1640332800.0,0.8112,46776.29,2021-12-14 09:00:07.485554
81,put,35000.0,1640332800.0,1.0672,46776.29,2021-12-14 09:00:07.485554
82,put,47000.0,1640332800.0,0.7908,46776.29,2021-12-14 09:00:07.485554
83,put,48000.0,1640332800.0,0.7836,46776.29,2021-12-14 09:00:07.485554
84,put,51000.0,1640332800.0,0.7844,46776.29,2021-12-14 09:00:07.485554
85,put,52000.0,1640332800.0,0.7898999999999999,46776.29,2021-12-14 09:00:07.485554
86,put,46000.0,1640332800.0,0.8009000000000001,46776.29,2021-12-14 09:00:07.485554
87,put,56000.0,1640332800.0,0.8261,46776.29,2021-12-14 09:00:07.485554
