,type,strikes,maturities,implied_volatilities,Spot,posixT0
0,put,45000.0,1649577600.0,0.5324,42697.35,2022-04-10 05:35:49.727022+00:00
1,put,47000.0,1649577600.0,0.5404,42697.35,2022-04-10 05:35:49.727022+00:00
2,put,43000.0,1649577600.0,0.3505,42697.35,2022-04-10 05:35:49.727022+00:00
3,put,50000.0,1649577600.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
4,put,36000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
5,put,41000.0,1649577600.0,0.5326,42697.35,2022-04-10 05:35:49.727022+00:00
6,put,42000.0,1649577600.0,0.4844,42697.35,2022-04-10 05:35:49.727022+00:00
7,put,34000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
8,put,38000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
9,put,48000.0,1649577600.0,0.5771999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
10,put,44000.0,1649577600.0,0.4054,42697.35,2022-04-10 05:35:49.727022+00:00
11,put,39000.0,1649577600.0,0.7724,42697.35,2022-04-10 05:35:49.727022+00:00
12,put,46000.0,1649577600.0,0.5403,42697.35,2022-04-10 05:35:49.727022+00:00
13,put,40000.0,1649577600.0,0.662,42697.35,2022-04-10 05:35:49.727022+00:00
14,put,44000.0,1649664000.0,0.43920000000000003,42697.35,2022-04-10 05:35:49.727022+00:00
15,put,48000.0,1649664000.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
16,put,43000.0,1649664000.0,0.396,42697.35,2022-04-10 05:35:49.727022+00:00
17,put,40000.0,1649664000.0,0.5603,42697.35,2022-04-10 05:35:49.727022+00:00
18,put,39000.0,1649664000.0,0.6054999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
19,put,36000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
20,put,46000.0,1649664000.0,0.5585,42697.35,2022-04-10 05:35:49.727022+00:00
21,put,41000.0,1649664000.0,0.5201,42697.35,2022-04-10 05:35:49.727022+00:00
22,put,47000.0,1649664000.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
23,put,45000.0,1649664000.0,0.4429,42697.35,2022-04-10 05:35:49.727022+00:00
24,put,34000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
25,put,38000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
26,put,37000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
27,put,42000.0,1649664000.0,0.43479999999999996,42697.35,2022-04-10 05:35:49.727022+00:00
28,put,25000.0,1650009600.0,0.9994,42697.35,2022-04-10 05:35:49.727022+00:00
29,put,65000.0,1650009600.0,0.7232,42697.35,2022-04-10 05:35:49.727022+00:00
30,put,50000.0,1650009600.0,0.5536,42697.35,2022-04-10 05:35:49.727022+00:00
31,put,49000.0,1650009600.0,0.5478999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
32,put,48000.0,1650009600.0,0.5035000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
33,put,70000.0,1650009600.0,0.7317,42697.35,2022-04-10 05:35:49.727022+00:00
34,put,30000.0,1650009600.0,0.922,42697.35,2022-04-10 05:35:49.727022+00:00
